target,action,reward
0,(0; 0.13),[0.01857358 5.429614  ],-0.2565628537424308
0,(0.13; 0),[0.00248004 0.6415444 ],-0.2624741449661367
0,(0; 0.13),[0.16605657 5.183754  ],0.36982268084166975
0,(0.13; 0),[0.01503757 5.8019853 ],-0.2668268527821583
0,(0; 0.13),[0.07986952 2.4586306 ],-0.3534333760801775
0,(0.13; 0),[0.05919227 2.6062472 ],-0.19371285377952294
0,(0; -0.13),[0.02711673 6.281904  ],-0.2625196757481791
0,(0.13; 0),[0.0747835  0.75447065],-0.35239362575970157
0,(0.13; 0),[0.16955863 3.9830928 ],0.03057064521182801
0,(0; 0.13),[0.09508955 4.132946  ],-0.08632199533248801
0,(0; -0.13),[0.14590766 4.759425  ],-0.6505957718480103
0,(0; 0.13),[0.01010021 3.2030036 ],-0.2622272215090772
0,(0; -0.13),[0.14896627 3.318433  ],-0.4373297876468851
0,(0.13; 0),[0.05818357 0.57986856],-0.3243565812341169
0,(0; -0.13),[0.2126983 1.9942085],0.5999143474749477
0,(0.13; 0),[0.01229927 2.0000155 ],-0.26096418616826345
0,(0; -0.13),[0.01568629 1.8195649 ],-0.25703298348451314
0,(0; -0.13),[0.        0.1995529],-0.26236426446749106
0,(0; -0.13),[0.0118914 1.9469224],-0.25942784017016746
0,(0; 0.13),[0.12826367 1.6619836 ],-0.5740607482864547
0,(0; -0.13),[0.14181945 2.7590945 ],-0.19063467043425764
0,(0.13; 0),[0.13845237 4.3825293 ],-0.21289768801113368
0,(0; 0.13),[0.03910629 5.257221  ],-0.23293160637221827
0,(0; 0.13),[0.1678657  0.83396554],-0.6843486494888439
0,(0; 0.13),[0.1428187 5.131416 ],0.22685093806773404
0,(0.13; 0),[0.16517527 4.329032  ],-0.2179575454454024
0,(0; 0.13),[0.07595226 3.275361  ],-0.2534018577367833
0,(0; 0.13),[0.11510763 4.7529564 ],0.0873539230193113
0,(0; 0.13),[0.        4.6450286],-0.26236426446749106
0,(0.13; 0),[0.02677383 0.06346808],-0.2781915308060533
0,(0; -0.13),[0.00740679 5.4858317 ],-0.2632395584823553
0,(0; 0.13),[0.05830491 1.841599  ],-0.33304083278478336
0,(0.13; 0),[0.2018992  0.90632915],-0.8028071130634643
0,(0.13; 0),[0.04258398 4.612866  ],-0.25915377308811066
0,(0; -0.13),[0.13046183 3.1327245 ],-0.32670039021969943
0,(0; 0.13),[0.09855757 0.8589452 ],-0.421563420496538
0,(0; 0.13),[0.19976284 5.3739886 ],0.21148602282110218
0,(0; 0.13),[0.1059639 3.872617 ],-0.10388739214616834
0,(0; -0.13),[0.02122769 3.6696904 ],-0.2674520353171558
0,(0.13; 0),[0.02679735 4.693522  ],-0.26219034300408767
0,(0.13; 0),[0.209322  6.2831855],-0.9439711159911836
0,(0; -0.13),[0.02260864 5.7463694 ],-0.26822382862111016
0,(0; 0.13),[0.11460041 1.1491002 ],-0.5036316307716255
0,(0.13; 0),[0.09041873 5.4964604 ],-0.3899626775248307
0,(0.13; 0),[0.09639365 1.6386263 ],-0.26973170359422916
0,(0; 0.13),[0.03046624 3.2944949 ],-0.25941736467189747
0,(0.13; 0),[0.2059019 2.8492498],0.980855512062553
0,(0; 0.13),[0.22      4.0296936],0.09423809110272335
0,(0; 0.13),[0.00340581 0.8890728 ],-0.2625651039548337
0,(0; 0.13),[0.05992162 5.47115   ],-0.20421132782106308
0,(0; -0.13),[0.01982418 5.3116393 ],-0.26958679272528424
0,(0; 0.13),[0.11956935 2.4063044 ],-0.4747855619394522
0,(0.13; 0),[0.02840444 2.7427595 ],-0.24567135812582028
0,(0.13; 0),[0.0860604 6.2831855],-0.4152193530099884
0,(0.13; 0),[0.17220052 1.2937175 ],-0.5559775941058771
0,(0; -0.13),[0.1817797 2.244597 ],0.20675506696430937
0,(0; -0.13),[0.16107218 0.        ],-0.4067181871074961
0,(0; -0.13),[0.00940021 1.4693809 ],-0.2604020468185222
0,(0; -0.13),[0.2073443 1.9365661],0.7633816061774886
0,(0; 0.13),[0.06303748 1.236137  ],-0.34310096690929637
0,(0.13; 0),[0.01655309 1.0041492 ],-0.2656520216875493
0,(0; 0.13),[0.15285224 5.437377  ],0.09278271013863007
0,(0; -0.13),[0.08378408 1.4403318 ],-0.09399401728021478
0,(0.13; 0),[0.05982054 3.0329094 ],-0.17975860330280807
0,(0; -0.13),[0.15987173 1.7582278 ],0.5302204004877639
0,(0; -0.13),[0.        5.5045443],-0.26236426446749106
0,(0; 0.13),[0.07947809 1.6158402 ],-0.394035451034036
0,(0; -0.13),[0.13868532 6.2831855 ],-0.3467919863900852
0,(0; -0.13),[0.12613305 4.913716  ],-0.5620758426994076
0,(0; 0.13),[0.1347932 3.9129758],-0.006334135567118458
0,(0.13; 0),[0.15399586 0.01004952],-0.6868475291459267
0,(0.13; 0),[0.05167977 5.6064754 ],-0.30838572253470414
0,(0; 0.13),[0.12499063 4.4830313 ],0.144880503002566
0,(0; -0.13),[0.10264476 1.7372981 ],-8.057139681127679e-05
0,(0; -0.13),[0.05303204 2.9431102 ],-0.2518550550841183
0,(0.13; 0),[0.05851232 2.6266985 ],-0.19441720243579666
0,(0; -0.13),[0.18526927 3.4792488 ],-0.631658515328019
0,(0.13; 0),[0.12346136 0.39644286],-0.5400547377340282
0,(0; -0.13),[0.15223767 1.4454896 ],0.4479225981546273
0,(0; -0.13),[0.0731279 0.96014  ],-0.16242236165242852
0,(0; 0.13),[0.00688146 1.3407363 ],-0.2633919087819239
0,(0.13; 0),[0.07449219 0.7641004 ],-0.3510158575256266
0,(0; 0.13),[0.       4.939935],-0.26236426446749106
0,(0; 0.13),[0.13357939 0.4205173 ],-0.459460330439458
0,(0; 0.13),[0.07313531 3.8185914 ],-0.18972845770244856
0,(0; -0.13),[0.111034 2.142023],-0.017701027734183795
0,(0; 0.13),[0.21291764 2.1767712 ],-0.9143308957201856
0,(0; -0.13),[0.02105626 1.6403955 ],-0.25245280406417253
0,(0; -0.13),[0.09616976 3.8140037 ],-0.39333550057492445
0,(0; 0.13),[0.         0.26243094],-0.26236426446749106
0,(0; 0.13),[0.09420902 1.6089432 ],-0.44284422950291374
0,(0; 0.13),[0.21384627 5.4471188 ],0.05833689119061754
0,(0; -0.13),[0.20327395 4.5547237 ],-0.912316548699132
0,(0.13; 0),[0.17335615 0.9233537 ],-0.6694886009028367
0,(0.13; 0),[0.22      6.2831855],-0.994384911982246
0,(0; 0.13),[0.14997429 1.2696722 ],-0.6587566847904598
0,(0; 0.13),[0.00639443 4.075287  ],-0.2616312313968151
0,(0; -0.13),[0.0837078 6.0566726],-0.30755669442663686
0,(0.13; 0),[0.16953395 1.6293285 ],-0.4071249733030834
